epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,735.171,0.37809,0.5528,0.26715,0.89529,0.99502,0.99346,0.99425,0.76018,0.83806,0.83173,0.80823,0.30525,0.93181,1.20823,0.38752,1.45029,0.00028225,0.00028225,0.00028225
89,743.26,0.36343,0.527,0.25494,0.8896,0.99224,0.9936,0.99348,0.75947,0.81278,0.8093,0.77966,0.29259,0.91597,1.23064,0.39102,1.45692,0.000274,0.000274,0.000274
90,751.457,0.3674,0.53965,0.26251,0.8913,0.99161,0.99843,0.99411,0.7641,0.83099,0.82564,0.80966,0.31138,0.90673,1.21137,0.38341,1.45452,0.00026575,0.00026575,0.00026575
91,759.797,0.36078,0.51026,0.25229,0.88534,0.99689,0.99665,0.99432,0.76457,0.82832,0.82468,0.80582,0.30423,0.89227,1.21263,0.38076,1.42676,0.0002575,0.0002575,0.0002575
92,767.811,0.36245,0.54138,0.26181,0.88613,0.99708,0.99888,0.99426,0.76742,0.84779,0.84841,0.82748,0.31832,0.89138,1.21817,0.37334,1.43446,0.00024925,0.00024925,0.00024925
93,775.99,0.34474,0.50957,0.25022,0.88082,0.99658,0.99813,0.99419,0.76382,0.83797,0.83773,0.81478,0.31296,0.89374,1.21285,0.38032,1.42266,0.000241,0.000241,0.000241
94,784.116,0.33889,0.48541,0.24118,0.873,0.99595,0.99657,0.99416,0.76782,0.84199,0.83883,0.81642,0.3148,0.89116,1.23,0.38308,1.42878,0.00023275,0.00023275,0.00023275
95,792.227,0.34639,0.51798,0.25585,0.8793,0.99646,0.99649,0.99422,0.76558,0.82489,0.82376,0.79558,0.29766,0.91035,1.24136,0.37926,1.44853,0.0002245,0.0002245,0.0002245
96,800.32,0.35489,0.53251,0.26006,0.8855,0.9933,0.99509,0.99421,0.76195,0.82381,0.81878,0.79625,0.30165,0.9092,1.28242,0.38738,1.46855,0.00021625,0.00021625,0.00021625
97,808.429,0.34765,0.52693,0.2581,0.87704,0.99541,0.99694,0.99408,0.76435,0.81295,0.81175,0.78981,0.29633,0.90939,1.27363,0.38766,1.44066,0.000208,0.000208,0.000208
98,816.579,0.34734,0.53433,0.25494,0.88079,0.99356,0.99751,0.99396,0.76613,0.82537,0.82228,0.80488,0.3051,0.90247,1.26908,0.3803,1.44762,0.00019975,0.00019975,0.00019975
99,824.644,0.33388,0.4992,0.24322,0.86855,0.99629,0.99737,0.99416,0.76705,0.85542,0.85476,0.8348,0.32355,0.89065,1.24783,0.37313,1.44017,0.0001915,0.0001915,0.0001915
100,832.9,0.3369,0.52514,0.25209,0.87097,0.99681,0.99757,0.99393,0.76578,0.82684,0.82359,0.80571,0.30107,0.90492,1.25844,0.37744,1.4553,0.00018325,0.00018325,0.00018325
101,841.144,0.33839,0.50981,0.24529,0.86904,0.99706,0.99778,0.994,0.7616,0.82392,0.82251,0.7984,0.31217,0.89171,1.26533,0.37553,1.44669,0.000175,0.000175,0.000175
102,849.278,0.32729,0.51036,0.24507,0.86661,0.99727,0.99715,0.99422,0.76799,0.84376,0.84215,0.82216,0.31706,0.88659,1.26171,0.36848,1.43451,0.00016675,0.00016675,0.00016675
103,857.484,0.3226,0.48019,0.23606,0.86408,0.99545,0.99794,0.99427,0.7703,0.83234,0.83061,0.81634,0.31629,0.90348,1.29716,0.37413,1.46889,0.0001585,0.0001585,0.0001585
104,865.688,0.33659,0.54546,0.25778,0.8774,0.99623,0.99761,0.99425,0.7696,0.84474,0.84403,0.82195,0.31917,0.88236,1.28503,0.36893,1.4443,0.00015025,0.00015025,0.00015025
